,smiles
1062606,N1(C2[C@@H]([C@H](O)[C@H](O2)CO)O)C=3C(=C(NCC4C5=C(C=CC=C5)CCC4)N=CN3)N=C1
1062605,N1(C2[C@@H]([C@H](O)[C@H](O2)CO)O)C=3C(=C(NCC4C5=C(C=CC=C5)CCCC4)N=CN3)N=C1
1062604,N1(C2[C@@H]([C@H](O)[C@H](O2)CO)O)C=3C(=C(NC4C5=C(C=CC=C5)CC4)N=CN3)N=C1
1062601,N1(C2[C@@H]([C@H](O)[C@H](O2)CO)O)C=3C(=C(NC4C=5C(=C(O)C=CC5)CCC4)N=CN3)N=C1
1062600,ClC1=C(C=C([C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)C=C1)CC=3SC(C4CCCC4)=CN3
1062599,N1(C2[C@@H]([C@H](O)[C@H](O2)CO)O)C3=C(C(NCC4C5=C(CCC=6C4=CC=CC6)C=CC=C5)=NC=N3)N=C1
1062598,N1(C2[C@@H]([C@H](O)[C@H](O2)CO)O)C=3C(=C(N[C@H]4C5=C(C=CC=C5)CCC4)N=CN3)N=C1
1062595,N1(C2[C@@H]([C@H](O)[C@H](O2)CO)O)C=3C(=C(NC4C=5C(=CC=C(C5)O)CCC4)N=CN3)N=C1
1062594,C=1C=C(C(=CC1[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC=3SC(=CN3)OCC)Cl
1062593,N1(C2[C@@H]([C@H](O)[C@H](O2)CO)O)C=3C(=C(NC4C5=C(C=CC=C5)CCCC4)N=CN3)N=C1
